case_id,year,city,state
922,2015,BALTIMORE, MARYLAND
923,2015,JUPITER, FLORIDA
924,2015,CHICAGO, ILLINOIS
925,2015,PRINCETON, NEW JERSEY
926,2015,NEW YORK, NEW YORK
927,2015,AUSTIN, TEXAS
928,2015,IOWA CITY, IOWA
929,2015,GOLETA, CALIFORNIA
930,2015,REDMOND, WASHINGTON
931,2015,NEW YORK, NEW YORK
932,2015,GOLETA, CALIFORNIA
933,2015,SAN MARCOS, TEXAS
934,2015,FREMONT, CALIFORNIA
935,2015,DUARTE, CALIFORNIA
936,2015,BOSTON, MASSACHUSETTS
937,2015,NEW YORK, NEW YORK
938,2015,WELDON SPRING, MISSOURI
939,2015,NEW YORK, NEW YORK
940,2015,NEW YORK, NEW YORK
941,2015,ROCKVILLE, MARYLAND
942,2015,NEW YORK, NEW YORK
943,2015,ANN ARBOR, MICHIGAN
944,2015,HOUSTON, TEXAS
945,2015,NEW YORK CITY, NEW YORK
946,2015,BALTIMORE, MARYLAND
947,2015,MILPITAS, CALIFORNIA
948,2015,NEW YORK, NEW YORK
949,2015,BELLEVUE, WASHINGTON
950,2015,HOUSTON, TEXAS
951,2015,HOUSTON, TEXAS
952,2015,TROY, MICHIGAN
953,2015,BOULDER, COLORADO
954,2015,RALEIGH, NORTH CAROLINA
955,2015,MORRISVILLE, NORTH CAROLINA
956,2015,LIVONIA, MICHIGAN
957,2015,SALT LAKE CITY, UTAH
958,2015,GRAND JUNCTION, COLORADO
959,2015,PULLMAN, WASHINGTON
960,2015,ATHENS, GEORGIA
961,2015,MOUNTAIN VIEW, CALIFORNIA
962,2015,NEW YORK, NEW YORK
963,2015,ST. CHARLES, ILLINOIS
964,2015,CEDAR RAPIDS, IOWA
965,2015,MAYWOOD, ILLINOIS
966,2015,TALLAHASSEE, FLORIDA
967,2015,SAN JOSE, CALIFORNIA
968,2015,MOUNTAIN VIEW, CALIFORNIA
969,2015,DURHAM, NEW HAMPSHIRE
970,2015,BOSTON, MASSACHUSETTS
971,2015,SANTA CLARA, CALIFORNIA
972,2015,OKEMOS, MICHIGAN
973,2015,SAN DIEGO, CALIFORNIA
974,2015,SANTA CLARA, CALIFORNIA
975,2015,MANSFIELD, TEXAS
976,2015,MOUNTAIN VIEW, CALIFORNIA
977,2015,PITTSBURGH, PENNSYLVANIA
978,2015,SANTA CLARA, CALIFORNIA
979,2015,MILWAUKEE, WISCONSIN
980,2015,LIVONIA, MICHIGAN
981,2015,NEW YORK, NEW YORK
982,2015,SAN FRANCISCO, CALIFORNIA
983,2015,BATON ROUGE, LOUISIANA
984,2015,DALLAS, TEXAS
985,2015,COLORADO SPRINGS, COLORADO
986,2015,REDWOOD SHORES, CALIFORNIA
987,2015,KANSAS CITY, KANSAS
988,2015,NEW YORK, NEW YORK
989,2015,CULVER CITY, CALIFORNIA
990,2015,BEDFORD, MASSACHUSETTS
991,2015,COLLEGE PARK, MARYLAND
992,2015,CHARLOTTE, NORTH CAROLINA
993,2015,NEW YORK, NEW YORK
994,2015,NEW YORK, NEW YORK
995,2015,HOPKINTON, MASSACHUSETTS
996,2015,REDMOND, WASHINGTON
997,2015,NEW YORK, NEW YORK
998,2015,NEW YORK, NEW YORK
999,2015,AUSTIN, TEXAS
1000,2015,NEW YORK, NEW YORK
